"Slug","Title","Content","Prix","Texte prix","texte après prix"
"le-relais-touraine-sologne","Le Relais Touraine Sologne","","80","À partir","/nuit*"
"les-rivages-de-beauval","Les Rivages de Beauval","","96","À partir de","/personne*"
"les-hauts-de-beauval","Les Hauts de Beauval","","94","À partir de","v"
"les-jardins-de-beauval","Les Jardins de Beauval","","104","À partir de","/personne*"
"les-hameaux-de-beauval","Les Hameaux de Beauval","","120","À partir de","/nuit*"
"le-grand-hôtel","Le Grand Hôtel","","91","À partir de","/personne*"
"les-pagodes-de-beauval","Les Pagodes de Beauval","","100","À partir de","/personne*"
"beauvilliers","Beauvilliers","","99","À partir de","/personne*"
